file,BsLARVcov,BtiLARVcov,models,seed
wu20181002_LSM_Fillinger2006_test_132.xml,BsLARVcov0,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_133.xml,BsLARVcov10,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_134.xml,BsLARVcov100,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_135.xml,BsLARVcov20,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_136.xml,BsLARVcov30,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_137.xml,BsLARVcov40,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_138.xml,BsLARVcov50,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_139.xml,BsLARVcov60,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_140.xml,BsLARVcov70,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_141.xml,BsLARVcov80,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_142.xml,BsLARVcov90,BtiLARVcov10,base,2
wu20181002_LSM_Fillinger2006_test_143.xml,BsLARVcov0,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_144.xml,BsLARVcov10,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_145.xml,BsLARVcov100,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_146.xml,BsLARVcov20,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_147.xml,BsLARVcov30,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_148.xml,BsLARVcov40,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_149.xml,BsLARVcov50,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_150.xml,BsLARVcov60,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_151.xml,BsLARVcov70,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_152.xml,BsLARVcov80,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_153.xml,BsLARVcov90,BtiLARVcov100,base,2
wu20181002_LSM_Fillinger2006_test_154.xml,BsLARVcov0,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_155.xml,BsLARVcov10,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_156.xml,BsLARVcov100,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_157.xml,BsLARVcov20,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_158.xml,BsLARVcov30,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_159.xml,BsLARVcov40,BtiLARVcov20,base,2
wu20181002_LSM_Fillinger2006_test_160.xml,BsLARVcov50,BtiLARVcov20,base,2
