file,LARVcov,LARVcov_dry,LARVcov_rain,models,seed
wu20181002_LSM_Fillinger2006_test1_979.xml,LARVcov0,LARVcov_dry10,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_990.xml,LARVcov0,LARVcov_dry100,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1001.xml,LARVcov0,LARVcov_dry20,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1012.xml,LARVcov0,LARVcov_dry30,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1023.xml,LARVcov0,LARVcov_dry40,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1034.xml,LARVcov0,LARVcov_dry50,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1045.xml,LARVcov0,LARVcov_dry60,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1056.xml,LARVcov0,LARVcov_dry70,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1067.xml,LARVcov0,LARVcov_dry80,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1078.xml,LARVcov0,LARVcov_dry90,LARVcov_rain70,base,1
wu20181002_LSM_Fillinger2006_test1_1089.xml,LARVcov0,LARVcov_dry0,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1100.xml,LARVcov0,LARVcov_dry10,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1111.xml,LARVcov0,LARVcov_dry100,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1122.xml,LARVcov0,LARVcov_dry20,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1133.xml,LARVcov0,LARVcov_dry30,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1144.xml,LARVcov0,LARVcov_dry40,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1155.xml,LARVcov0,LARVcov_dry50,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1166.xml,LARVcov0,LARVcov_dry60,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1177.xml,LARVcov0,LARVcov_dry70,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1188.xml,LARVcov0,LARVcov_dry80,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1199.xml,LARVcov0,LARVcov_dry90,LARVcov_rain80,base,1
wu20181002_LSM_Fillinger2006_test1_1210.xml,LARVcov0,LARVcov_dry0,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1221.xml,LARVcov0,LARVcov_dry10,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1232.xml,LARVcov0,LARVcov_dry100,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1243.xml,LARVcov0,LARVcov_dry20,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1254.xml,LARVcov0,LARVcov_dry30,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1265.xml,LARVcov0,LARVcov_dry40,LARVcov_rain90,base,1
wu20181002_LSM_Fillinger2006_test1_1276.xml,LARVcov0,LARVcov_dry50,LARVcov_rain90,base,1
