LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
20,90,Nv,Host-seeking mosquitoes,10,5.73748483927446,11.8470086628865,9.0480265748018,9.17071152942698,1.49624441548102,18,8.37114581146333,10.0199448888841,6.12286538259363,11.3312015615305,0.352668190833043,8.30396173197596,9.79209141762765,0
20,90,Nv,Host-seeking mosquitoes,15,3.88716818706554,7.52130895763251,6.03925096356369,6.1717967983361,1.06542999817249,18,5.25417361107066,6.80831963839579,4.05716556509567,7.47299135746657,0.251124258862445,5.50942509024385,6.56907683688352,0
20,90,Nv,Host-seeking mosquitoes,20,2.61542491461068,7.25075984708308,4.7163022098162,4.60598813724904,1.17822054026928,18,3.79153720348101,5.39289528988107,2.88291024771825,6.84852303518354,0.277709244585896,4.13038691948056,5.30221750015185,0
20,90,Nv,Host-seeking mosquitoes,30,1.44876079077068,5.96279350624016,3.87031417543884,4.12004322593157,1.29971540735702,18,2.92398291350534,4.66331763199927,1.48190622569671,5.89037860996822,0.306345859384928,3.22398090910378,4.5166474417739,0
20,90,Nv,Host-seeking mosquitoes,60,-2.0685307077576,4.38796303261907,1.34294190293685,1.39117277413565,1.53144164547732,18,0.613139917445786,2.07937873221406,-1.50307068929857,3.96924042374424,0.360964257502832,0.581373889416339,2.10450991645736,0
20,90,Nv,Host-seeking mosquitoes,once,-1.16016088651007,2.75182030351347,0.68840821850136,0.907404110752723,1.25206666979597,18,-0.564329787897716,1.45357461192192,-1.10665756069282,2.58978481987032,0.295114944236797,0.0657701118991562,1.31104632510356,0
40,3,Nv,Host-seeking mosquitoes,5,32.9399133663454,40.177417979795,35.7397167127408,35.3967584053096,1.78576744500428,18,34.6630880330203,36.7348212170704,33.2510868485159,39.2076010067689,0.420909423328233,34.851675454546,36.6277579709355,0
40,3,Nv,Host-seeking mosquitoes,10,15.9027481383536,20.3883246454067,18.541851653572,18.599760274321,1.23426810639917,18,17.76516556701,19.322929298081,16.322554587596,20.2988674412568,0.290919782612377,17.9280645643165,19.1556387428274,0
40,3,Nv,Host-seeking mosquitoes,15,10.160110355029,13.9851063113403,12.4807393735668,12.3855126051369,1.17044341782241,18,11.5578832800208,13.608276703459,10.5969332262151,13.923823287253,0.275876159245796,11.8986915552372,13.0627871918964,0
40,3,Nv,Host-seeking mosquitoes,20,7.39389785243401,11.2177884608849,9.12318019017872,9.13369026179784,1.2140815690524,18,8.04459840438631,10.1562805394149,7.40448519220677,10.9986155944738,0.286161770130186,8.5194316297777,9.72692875057975,0
