PostInterventionDays,Decay2,EIR,Frequency,Frequency_fct,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
70,decay_5dayStep,10,2,10,80,PR,Prevalence,1.52679014530133,6.52340218483694,4.4511862539973,4.70784728965124,1.35906033970829,18,4.00892237659762,5.34407723865476,1.87473131447206,6.39289381237868,0.320333594083141,3.77534144709736,5.12703106089725,0
70,decay_5dayStep,10,2,10,80,simulatedEIR,EIR,38.3450104619203,45.5834512776881,41.2059317196715,41.006699128328,2.19761727024691,18,39.2641501722182,42.6801175139158,38.5449040573906,45.4061084751045,0.517983358081419,40.1130823617329,42.2987810776101,0
70,decay_5dayStep,10,3,15,80,Nv,Host-seeking mosquitoes,28.289944825848,33.8040645149842,29.7614075893215,29.384718964643,1.42446392539621,18,28.7576386904073,30.2987223399028,28.3060814988899,33.1123803561258,0.335749367067756,29.0530383444343,30.4697768342087,0
70,decay_5dayStep,10,3,15,80,Nv0,Mosquito emergence,-0.824954813640163,6.07505595011835,1.17094340951852,0.67858730807936,1.9280690798765,18,-0.178621820966201,1.78282152324868,-0.804478493060511,5.72024147435088,0.454450240325593,0.21213721312949,2.12974960590755,0
70,decay_5dayStep,10,3,15,80,PR,Prevalence,1.32960102131364,4.6022427535197,2.89375510699889,2.84633258879528,0.711889221508709,18,2.45514261555292,3.29159035968306,1.72643226753564,4.26522088799222,0.167793898660807,2.53974092573893,3.24776928825884,0
70,decay_5dayStep,10,3,15,80,simulatedEIR,EIR,24.1766275707237,31.8218745167705,27.0376749523327,27.0201185047745,2.00051699260008,18,25.359083092726,28.2466727247112,24.5059310045634,31.0210786418542,0.471526377115478,26.0428412565352,28.0325086481303,0
70,decay_5dayStep,10,4,20,80,Nv,Host-seeking mosquitoes,23.5419327867253,28.4689449050946,25.9573950901972,25.8133862985654,1.20212731855011,18,25.2191909841259,26.5148723820302,24.0837824924043,28.2407639945019,0.28334412626546,25.3595912387147,26.5551989416796,0
70,decay_5dayStep,10,4,20,80,Nv0,Mosquito emergence,-2.6104652606603,3.28245778517662,0.447814046666051,0.30117223965097,1.43455610700607,18,-0.455509829795209,1.31308781156644,-1.90283621952818,2.9965468607935,0.338128117085522,-0.265573922064432,1.16120201539653,0
70,decay_5dayStep,10,4,20,80,PR,Prevalence,-0.386915212982317,4.69626389639406,2.20934467859263,2.04807636790275,1.41625671929202,18,1.76520116597957,3.1798783973588,-0.209188616820018,4.37756046763125,0.333814910037467,1.50505678128255,2.9136325759027,0
70,decay_5dayStep,10,4,20,80,simulatedEIR,EIR,16.7240652199349,24.0283852003996,19.3457925380354,18.9104400901692,2.23031168278918,18,17.5583391332456,20.729253523103,16.842497379265,23.8747479454955,0.525689505019937,18.2366846312409,20.45490044483,0
70,decay_5dayStep,10,6,30,80,Nv,Host-seeking mosquitoes,21.0971113266387,25.5313139135121,23.4249425974318,23.5147281839118,1.31097774530678,18,22.6238239612418,24.2771772301045,21.1903437589525,25.389386632376,0.309000417897025,22.7730087021956,24.0768764926679,0
70,decay_5dayStep,10,6,30,80,Nv0,Mosquito emergence,-1.93752844196074,2.89602904219143,0.957488334580703,1.19665615909035,1.56269858900276,18,-0.0137840738467209,2.17019176075739,-1.80082061534126,2.88958893058565,0.368331589744833,0.180376608728944,1.73460006043246,0
70,decay_5dayStep,10,6,30,80,PR,Prevalence,-0.570173346734936,4.18248633657993,2.23343821704857,2.29086967907478,1.17439923152224,18,1.54738635398067,2.96786110387279,-0.0651182973806482,4.01357796612229,0.276808553476549,1.64942321884624,2.8174532152509,0
70,decay_5dayStep,10,6,30,80,simulatedEIR,EIR,8.03904483849251,16.4834127158205,11.9016239459148,12.3540534363195,2.31314135172555,18,10.8903095466643,13.1168212450467,8.04658370904425,15.6707770965529,0.545212645216052,10.7513258138062,13.0519220780233,0
70,decay_5dayStep,10,once,once,80,Nv,Host-seeking mosquitoes,-2.21172349279673,1.34807734254805,-0.0618790334778095,0.0412311003753162,1.01481270063074,18,-0.570144175694253,0.763349335972252,-2.09717885606109,1.29424793977719,0.239193647416744,-0.566533516916426,0.442775449960807,0
