PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
365,3,100,Nv,Host-seeking mosquitoes,99.9999999999948,99.9999999999949,99.9999999999949,99.9999999999949,0.000000000000036800029298238,18,99.9999999999948,99.9999999999949,99.9999999999948,99.9999999999949,0.00000000000000867385008821591,99.9999999999948,99.9999999999949,0
365,3,100,PR,Prevalence,84.7353257609864,87.2147394828286,86.0988531944484,86.1007001469084,0.722091572102059,18,85.6448740996681,86.7129804051322,84.8001132823278,87.1089794571336,0.170198615757007,85.7397655035986,86.4579408852982,0
365,3,100,simulatedEIR,EIR,100,100,100,100,0,18,100,100,100,100,0,100,100,0
365,10,0,Nv,Host-seeking mosquitoes,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,10,0,PR,Prevalence,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,10,0,simulatedEIR,EIR,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,10,10,Nv,Host-seeking mosquitoes,8.54874301321315,12.4638830894029,10.3148367537129,10.0851977971924,1.08665165159235,18,9.56671524155267,11.2568338169625,8.63320324933027,12.0802770018797,0.256126250542837,9.77445760042561,10.8552159070002,0
365,10,10,PR,Prevalence,4.61495510619003,9.01761294559742,6.59705821138875,6.40113057317227,1.14450060313725,18,5.93173360378635,7.38522497393636,4.77792561741265,8.66910746633204,0.269761379183481,6.02791145128964,7.16620497148786,0
365,10,10,simulatedEIR,EIR,13.9734629981959,20.4471482819789,16.9769717259923,17.256133821721,1.98409760620647,18,15.1532385845495,18.4652864094633,14.0259545262591,20.1141807038119,0.467656290628197,15.9903031989532,17.9636402530314,0
365,10,20,Nv,Host-seeking mosquitoes,19.7000821919672,24.7757997367836,20.7212724494769,20.2588849894105,1.41505440869992,18,19.8609772804178,20.6534789704938,19.7232223852025,24.3285465328045,0.333531522713211,20.0175824471581,21.4249624517957,0
365,10,20,PR,Prevalence,10.2783104889047,15.5866526222682,13.5859917077384,13.7791304215961,1.22363055476187,18,13.1342527760074,14.2108832820744,10.9034519572666,15.4516068964932,0.288412487646391,12.9774945484604,14.1944888670164,0
365,10,20,simulatedEIR,EIR,29.880922204969,36.3531540104932,32.7864821466515,32.2647883892627,1.7849028601144,18,31.6662427476179,33.6954682615711,30.286739343662,36.2827102856465,0.420705638715385,31.8988708364075,33.6740934568955,0
365,10,30,Nv,Host-seeking mosquitoes,27.8076448009609,36.0869106471294,30.9750069451953,30.7439893893578,2.1108935529454,18,29.922182817293,31.3823979268311,28.2969949047328,36.0532961404133,0.497542381883552,29.9252842772651,32.0247296131255,0
365,10,30,PR,Prevalence,18.9707004467672,23.7023673770282,21.1831818109256,21.1078306197446,1.31347045176736,18,20.3865200843026,21.8466695724895,19.187559860221,23.6179627300205,0.309587954444287,20.5300083219294,21.8363552999217,0
