PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
290,10,60,simulatedEIR,EIR,75.7626489181872,84.3088382083385,78.1910344356735,77.1982646624108,2.43829184352435,18,76.7840474617596,77.9330457458726,76.0366301402656,83.9540442693561,0.574710899022639,76.978500428165,79.4035684431821,0
290,10,80,Nv,Host-seeking mosquitoes,80.1401650946819,93.2369443860765,83.0913067552455,81.318539599537,4.08601782145187,18,80.6802620252983,82.6846614672586,80.201403639808,93.2156488327996,0.963083636532568,81.0593778961328,85.1232356143583,0
290,10,80,PR,Prevalence,55.0758298269502,62.9371024925991,58.0376303142054,57.1219710681745,2.24597342414914,18,56.7477590993782,59.0883809723899,55.4107716505043,62.9369023105607,0.529381012860209,56.9207340066638,59.1545266217471,0
290,10,80,simulatedEIR,EIR,91.1297255091089,97.32771794377,92.6554965119103,91.7093779134428,1.92117620619797,18,91.4914212905139,92.5801384954431,91.2047653371828,97.3087158870688,0.452825574418944,91.7001180609599,93.6108749628607,0
290,10,100,Nv,Host-seeking mosquitoes,99.9999999971225,99.9999999972144,99.9999999971559,99.9999999971474,0.0000000000255893128520019,18,99.999999997138,99.9999999971677,99.9999999971244,99.9999999972054,0.00000000000603145888118486,99.9999999971432,99.9999999971686,0
290,10,100,PR,Prevalence,68.4585565925492,71.5064036647503,70.034578882111,69.9606135418086,0.85295480478909,18,69.57821233246,70.6273094022414,68.6226404250767,71.4653852722892,0.201043375504004,69.6104144366524,70.4587433275695,0
290,10,100,simulatedEIR,EIR,100,100,100,100,0,18,100,100,100,100,0,100,100,0
295,10,0,Nv,Host-seeking mosquitoes,0,0,0,0,0,18,0,0,0,0,0,0,0,0
295,10,0,PR,Prevalence,0,0,0,0,0,18,0,0,0,0,0,0,0,0
295,10,0,simulatedEIR,EIR,0,0,0,0,0,18,0,0,0,0,0,0,0,0
295,10,20,Nv,Host-seeking mosquitoes,19.7017226232717,24.7742547355918,20.7217015050716,20.2583934050847,1.41450301746081,18,19.859843799114,20.6551269527154,19.7239816916026,24.3271138046731,0.333401558551791,20.0182857031651,21.4251173069781,0
295,10,20,PR,Prevalence,9.29185826161147,13.8805622376272,12.1769719445581,12.2443014907652,1.34837807719985,18,11.8911549943883,13.2756527712905,9.34298349630962,13.8252600145673,0.317815760663763,11.5064393018288,12.8475045872875,0
295,10,20,simulatedEIR,EIR,28.2840452068514,34.7020614665293,31.3296279489051,30.8152106592754,1.69617192535382,18,30.3134523755255,32.4134966595075,28.9227928350638,34.5725997306135,0.399791556825309,30.4861414944288,32.1731144033813,0
