month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,80,37.9559778890582,-2,-5,40
2,10,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,100,49.6702491665017,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,20,10.8281572442608,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,24.1967554341024,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,60,38.6615242579034,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,80,48.7139567396095,-2,-5,40
2,3,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,100,63.8470839504417,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,20,1.62631352722756,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,40,2.43941535827082,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,60,5.29421257646475,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,80,9.84270283491092,-2,-5,40
2,90,4,1-1,"Medium seasonality,
one transmission season",2,Most effective,100,18.6376241547809,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,20,5.03471567846637,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,12.802555430047,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,60,22.5408428684951,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,80,32.8127731529453,-2,-5,40
2,10,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,100,48.4758703206773,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,20,7.8639775561438,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,22.5510234597378,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,60,35.8592939700648,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,80,50.6800589518491,-2,-5,40
2,3,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,100,64.3085077323492,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,0,0,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,20,0.0119541980626932,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,40,0.994805127253765,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,60,2.61056717083279,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,80,9.2652028740967,-2,-5,40
2,90,4,1-2,"Medium seasonality,
two transmission seasons",2,Most effective,100,20.7434626076673,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,20,7.36811346008073,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,16.8505414384194,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,60,28.1764159908309,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,80,43.5669949426317,-2,-5,40
2,10,4,2-1,"High seasonality,
one transmission season",2,Most effective,100,62.6324595113818,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,20,28.1512137044873,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,36.6479082339925,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,60,51.4401306843649,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,80,71.5855239072127,-2,-5,40
2,3,4,2-1,"High seasonality,
one transmission season",2,Most effective,100,85.4494075140869,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,0,0,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,20,-0.0101111931511341,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,40,1.82785319133005,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,60,5.43430466713269,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,80,12.5343412304079,-2,-5,40
2,90,4,2-1,"High seasonality,
one transmission season",2,Most effective,100,30.1293262259876,-2,-5,40
3,10,4,0,No seasonality,3,Most effective,0,0,-1,,40
3,10,4,0,No seasonality,3,Most effective,20,4.8796621387718,-1,,40
3,10,4,0,No seasonality,3,Most effective,40,9.92965060406564,-1,,40
3,10,4,0,No seasonality,3,Most effective,60,15.096002440059,-1,,40
3,10,4,0,No seasonality,3,Most effective,80,23.233377170772,-1,,40
3,10,4,0,No seasonality,3,Most effective,100,29.6979261713109,-1,,40
3,3,4,0,No seasonality,3,Most effective,0,0,-1,,40
3,3,4,0,No seasonality,3,Most effective,20,8.33826247772652,-1,,40
3,3,4,0,No seasonality,3,Most effective,40,15.4016565451059,-1,,40
3,3,4,0,No seasonality,3,Most effective,60,25.9956707367704,-1,,40
3,3,4,0,No seasonality,3,Most effective,80,34.390562920754,-1,,40
3,3,4,0,No seasonality,3,Most effective,100,39.892115693834,-1,,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,20,4.44724783789181,-1,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,10.1386186310708,-1,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,60,14.0864658572595,-1,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,80,20.2066501862884,-1,-5,40
3,10,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,100,27.687675817977,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,20,17.356131768776,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,26.1126257150935,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,60,33.5442663505749,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,80,45.5012545954186,-1,-5,40
3,3,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,100,57.1898399246745,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,20,-0.103116557111189,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,40,1.09982855993365,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,60,1.5035479703487,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,80,3.92040297375189,-1,-5,40
3,90,4,2-2,"High seasonality,
two transmission seasons",3,Most effective,100,6.14892931683226,-1,-5,40
3,90,4,0,No seasonality,3,Most effective,0,0,-1,,40
3,90,4,0,No seasonality,3,Most effective,20,1.98616189997371,-1,,40
3,90,4,0,No seasonality,3,Most effective,40,3.44901238798452,-1,,40
3,90,4,0,No seasonality,3,Most effective,60,7.29200228963188,-1,,40
3,90,4,0,No seasonality,3,Most effective,80,12.3985914113296,-1,,40
3,90,4,0,No seasonality,3,Most effective,100,16.0680903337987,-1,,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,20,4.77271355186156,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,11.585737947907,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,60,18.8113006471416,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,80,26.8893291545302,-1,-5,40
3,10,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,100,37.1776886357086,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,20,11.1707530946554,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,19.5108100935533,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,60,28.7619830088446,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,80,37.4381978016137,-1,-5,40
3,3,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,100,53.4646025126421,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,20,0.254059796627442,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,40,2.24434841692541,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,60,4.20532876141248,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,80,6.92938219507807,-1,-5,40
3,90,4,1-1,"Medium seasonality,
one transmission season",3,Most effective,100,13.0139093042489,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,20,4.44359664816856,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,10.1349090659796,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,60,15.5488112428779,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,80,21.7382320872339,-1,-5,40
3,10,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,100,31.2457706504076,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,20,3.24751216058903,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,17.7405174631216,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,60,25.2327224744003,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,80,35.8916185477744,-1,-5,40
3,3,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,100,45.6711497775648,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,0,0,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,20,0.919336428218165,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,40,1.62746320432278,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,60,4.11673751097016,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,80,7.07343452756566,-1,-5,40
3,90,4,1-2,"Medium seasonality,
two transmission seasons",3,Most effective,100,10.7716900400044,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,20,5.28186379159501,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,10.1769171999613,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,60,16.4158989166399,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,80,24.7839779425917,-1,-5,40
3,10,4,2-1,"High seasonality,
one transmission season",3,Most effective,100,35.0632972047354,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,20,2.43232821953141,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,26.9820631530051,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,60,36.6588671873575,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,80,43.2461767278808,-1,-5,40
3,3,4,2-1,"High seasonality,
one transmission season",3,Most effective,100,57.7513450362897,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,0,0,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,20,1.66758221068333,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,40,2.38309057916067,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,60,4.30738123815417,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,80,6.38434980169361,-1,-5,40
3,90,4,2-1,"High seasonality,
one transmission season",3,Most effective,100,10.0820737210726,-1,-5,40
4,10,4,0,No seasonality,4,Least effective,0,0,0,,40
4,10,4,0,No seasonality,4,Least effective,20,5.51778519704107,0,,40
4,10,4,0,No seasonality,4,Least effective,40,9.25588232086933,0,,40
4,10,4,0,No seasonality,4,Least effective,60,14.9827295291622,0,,40
4,10,4,0,No seasonality,4,Least effective,80,22.7922279768779,0,,40
4,10,4,0,No seasonality,4,Least effective,100,29.6395516927955,0,,40
4,3,4,0,No seasonality,4,Least effective,0,0,0,,40
4,3,4,0,No seasonality,4,Least effective,20,3.70741420606033,0,,40
4,3,4,0,No seasonality,4,Least effective,40,12.3243316050695,0,,40
4,3,4,0,No seasonality,4,Least effective,60,20.3059499247909,0,,40
4,3,4,0,No seasonality,4,Least effective,80,29.1595476255029,0,,40
4,3,4,0,No seasonality,4,Least effective,100,37.6591720781744,0,,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,0,0,0,-5,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,20,-0.16359832960964,0,-5,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,40,2.59423319937319,0,-5,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,60,2.79353199339989,0,-5,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,80,3.81216483227153,0,-5,40
4,10,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,100,3.3872312445323,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,0,0,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,20,6.65344497051329,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,40,15.0017331891983,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,60,12.5796925178427,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,80,14.3094587718167,0,-5,40
4,3,4,2-2,"High seasonality,
two transmission seasons",4,Least effective,100,20.2662068212108,0,-5,40
