seed,EIR,SeasonID,SeasonID_label,Duration_yr,developmentDuration,femaleEggsLaidByOviposit,developmentSurvival,LARVcov,red_simulated.EIR,red_PR,red_Nv0,red_Nv,red_simulated.EIR_cum,red_PR_cum,red_Nv0_cum,red_Nv_cum,Seasonality_grp,EIRlabel,Seasonality_grp2
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3,Mid of rain
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,20,17.1357629551416,13.4605466735431,0.547635279398871,0.541941017628841,17.1357629551416,13.4605466735431,0.547635279398871,0.541941017628841,Mid of rain,EIR 3,Mid of rain
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,40,29.9237787273357,28.158844765343,1.4631076616498,1.52789122714327,29.9237787273357,28.158844765343,1.4631076616498,1.52789122714327,Mid of rain,EIR 3,Mid of rain
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,60,45.5376734363915,43.3212996389892,-1.49906729695916,-1.48964697013741,45.5376734363915,43.3212996389892,-1.49906729695916,-1.48964697013741,Mid of rain,EIR 3,Mid of rain
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,80,55.666688664148,50.2320783909232,-0.246473333682938,-0.22427051290411,55.666688664148,50.2320783909232,-0.246473333682938,-0.22427051290411,Mid of rain,EIR 3,Mid of rain
1,3,1-2,"Medium seasonality,
two transmission seasons",1,11,99,60,100,74.13607641925,70.8612686952037,1.10351130855615,1.09338783324178,74.13607641925,70.8612686952037,1.10351130855615,1.09338783324178,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,20,6.919453102862,6.89655172413794,0.939976864744443,0.930182208402247,6.919453102862,6.89655172413794,0.939976864744443,0.930182208402247,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,40,41.5185782091244,36.5900383141763,0.019707810290906,0.0200815184138213,41.5185782091244,36.5900383141763,0.019707810290906,0.0200815184138213,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,60,46.8442724567866,45.5938697318008,-1.05651000385589,-1.03733593556343,46.8442724567866,45.5938697318008,-1.05651000385589,-1.03733593556343,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,80,67.9407232927175,61.8773946360153,-0.373591534210199,-0.369311674578994,67.9407232927175,61.8773946360153,-0.373591534210199,-0.369311674578994,Mid of rain,EIR 3,Mid of rain
1,3,2-1,"High seasonality,
one transmission season",1,11,99,60,100,69.5339508359309,63.7931034482759,-2.28267854847694,-2.29949074524397,69.5339508359309,63.7931034482759,-2.28267854847694,-2.29949074524397,Mid of rain,EIR 3,Mid of rain
1,10,0,No seasonality,1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 10,Mid of rain
1,10,0,No seasonality,1,11,99,60,20,4.2178037034714,2.95178008111761,2.10378830497501,2.12970667776159,4.2178037034714,2.95178008111761,2.10378830497501,2.12970667776159,Mid of rain,EIR 10,Mid of rain
1,10,0,No seasonality,1,11,99,60,40,9.99323980569668,6.1964849031095,3.15302883951981,3.19268196842568,9.99323980569668,6.1964849031095,3.15302883951981,3.19268196842568,Mid of rain,EIR 10,Mid of rain
1,10,0,No seasonality,1,11,99,60,60,18.1277746416052,10.1397025687246,3.82731315876066,3.8679125349606,18.1277746416052,10.1397025687246,3.82731315876066,3.8679125349606,Mid of rain,EIR 10,Mid of rain
1,10,0,No seasonality,1,11,99,60,80,21.3371246175612,12.9788192879676,3.94964494591927,3.96268173728128,21.3371246175612,12.9788192879676,3.94964494591927,3.96268173728128,Mid of rain,EIR 10,Mid of rain
1,10,0,No seasonality,1,11,99,60,100,37.588771108184,28.9319513294277,3.41865599558438,3.45127476134341,37.588771108184,28.9319513294277,3.41865599558438,3.45127476134341,Mid of rain,EIR 10,Mid of rain
1,10,1-1,"Medium seasonality,
one transmission season",1,11,99,60,0,0,0,0,0,0,0,0,0,Mid of rain,EIR 10,Mid of rain
1,10,1-1,"Medium seasonality,
one transmission season",1,11,99,60,20,12.1140485428133,10.4387291981846,-0.347021293402911,-0.327540975090258,12.1140485428133,10.4387291981846,-0.347021293402911,-0.327540975090258,Mid of rain,EIR 10,Mid of rain
1,10,1-1,"Medium seasonality,
one transmission season",1,11,99,60,40,19.7103672290896,17.4357034795764,1.02985779291519,1.03535156757318,19.7103672290896,17.4357034795764,1.02985779291519,1.03535156757318,Mid of rain,EIR 10,Mid of rain
