month,EIR,Duration_mth,SeasonID,SeasonID_label,deploy_mth,EffectSeason,LARVcov,red_PR,deploy_mth_adj,WetSeason,movingCoverage
11,90,4,2-2,"High seasonality,
two transmission seasons",11,Most effective,80,16.4641043927207,-5,,80
11,10,4,1-1,"Medium seasonality,
one transmission season",11,Most effective,80,33.1132426756727,-5,,80
11,3,4,1-1,"Medium seasonality,
one transmission season",11,Most effective,80,47.8716786966693,-5,,80
11,90,4,1-1,"Medium seasonality,
one transmission season",11,Most effective,80,23.2164090016815,-5,,80
11,10,4,1-2,"Medium seasonality,
two transmission seasons",11,Most effective,80,21.3486504534936,-5,,80
11,3,4,1-2,"Medium seasonality,
two transmission seasons",11,Most effective,80,26.8214255674929,-5,,80
11,90,4,1-2,"Medium seasonality,
two transmission seasons",11,Most effective,80,14.5302205987074,-5,,80
11,10,4,2-1,"High seasonality,
one transmission season",11,Most effective,80,30.9564775872244,-5,,80
11,3,4,2-1,"High seasonality,
one transmission season",11,Most effective,80,32.7625570776256,-5,,80
11,90,4,2-1,"High seasonality,
one transmission season",11,Most effective,80,23.9472305608252,-5,,80
12,10,4,2-2,"High seasonality,
two transmission seasons",12,Most effective,60,32.8493309343288,-4,,60
12,3,4,2-2,"High seasonality,
two transmission seasons",12,Most effective,60,37.4305183084731,-4,,60
12,90,4,2-2,"High seasonality,
two transmission seasons",12,Most effective,60,20.4843096503219,-4,,60
12,10,4,1-1,"Medium seasonality,
one transmission season",12,Most effective,60,30.6908533702334,-4,,60
12,3,4,1-1,"Medium seasonality,
one transmission season",12,Most effective,60,37.1736712590333,-4,,60
12,90,4,1-1,"Medium seasonality,
one transmission season",12,Most effective,60,14.6469325401813,-4,,60
12,10,4,1-2,"Medium seasonality,
two transmission seasons",12,Most effective,60,26.0605685337728,-4,,60
12,3,4,1-2,"Medium seasonality,
two transmission seasons",12,Most effective,60,32.6707702588977,-4,,60
12,90,4,1-2,"Medium seasonality,
two transmission seasons",12,Most effective,60,11.4373879220555,-4,,60
12,10,4,2-1,"High seasonality,
one transmission season",12,Most effective,60,35.2160719933184,-4,,60
12,3,4,2-1,"High seasonality,
one transmission season",12,Most effective,60,44.0286779230327,-4,,60
12,90,4,2-1,"High seasonality,
one transmission season",12,Most effective,60,19.4951521209063,-4,,60
