file,developmentDuration,developmentSurvival,EIR,femaleEggsLaidByOviposit,LARVcov,LSMDeployTime,models,Seasonality_grp,seed
wu31052019_LSM_forPaper_constant_duration_47.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_48.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_49.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_50.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_51.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_52.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_53.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit99,LARVcov0,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_54.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_55.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_56.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_57.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_58.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_59.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_60.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_61.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_62.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
